track_name,artist(s)_name,artist_count,released_year,released_month,released_day,streams,danceability_%,energy_%
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,539595276,68,78
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,538115192,71,70
Escapism.,"RAYE, 070 Shake",2,2022,10,12,532336353,54,74
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,530511203,77,47
AM Remix,"J Balvin, Nio Garcia, Bad Bunny",3,2021,6,24,528544703,74,66
Yo Voy (feat. Daddy Yankee),Zion & Lennox,1,2004,5,4,527033089,81,70
Feliz Navidad,Josï¿½ï¿½ Felic,1,1970,11,1,520034544,50,82
Die For You - Remix,"Ariana Grande, The Weeknd",2,2023,2,24,518745108,53,53
Get Into It (Yuh),Doja Cat,1,2021,6,25,516784627,91,66
Sobrio,Maluma,1,2021,7,8,513643924,76,77
Tacones Rojos,Sebastian Yatra,1,2021,10,22,510876816,75,86
Sky,Playboi Carti,1,2020,12,25,506778838,79,91
un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17,505671438,57,72
Made You Look,Meghan Trainor,1,2022,10,21,502574952,84,53
Life Goes On,Oliver Tree,1,2020,7,17,501541661,70,49
Light Switch,Charlie Puth,1,2022,1,19,500340342,69,63
Ain't Shit,Doja Cat,1,2021,6,25,499710590,86,49
Swim,Chase Atlantic,1,2017,10,4,498960285,67,54
Miss You,"Robin Schulz, Oliver Tree",2,2022,8,5,497225336,59,74
Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24,496795686,78,59
Boyfriend,Dove Cameron,1,2022,2,11,496311364,35,61
Way 2 Sexy (with Future & Young Thug),"Drake, Future, Young Thug",3,2021,9,3,489945871,80,60
Lavender Haze,Taylor Swift,1,2022,10,21,488386797,73,44
Underneath the Tree,Kelly Clarkson,1,2013,10,25,485285717,51,81
Doja,Central Cee,1,2022,7,20,482257456,91,57
Shut Down,BLACKPINK,1,2022,9,16,482175240,82,69
Do They Know It's Christmas? - 1984 Version,Band Aid,1,1984,11,25,481697415,60,57
"Sex, Drugs, Etc.",Beach Weather,1,2016,11,4,480507035,57,84
La Corriente,"Tony Dize, Bad Bunny",2,2022,5,6,479655659,66,79
LA INOCENTE,"Feid, Mora",2,2022,4,1,477033549,76,79
Holly Jolly Christmas,Michael Bublï¿,1,2011,10,14,476244795,65,47
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,473248298,60,32
LOKERA,"Brray, Rauw Alejandro, Lyanno",3,2022,7,25,471819764,83,83
Mount Everest,Labrinth,1,2019,6,21,467727006,46,43
Lovers Rock,TV Girl,1,2014,6,5,466231982,56,87
Oh My God,Adele,1,2021,11,19,466214729,53,73
Cï¿½ï¿½,Rauw Alejandro,1,2021,6,25,465959382,77,63
AMG,"Natanael Cano, Gabito Ballesteros, Peso Pluma",3,2022,11,24,463564958,77,73
Ferrari,"James Hype, Miggy Dela Rosa",2,2022,3,14,462791599,84,69
Despuï¿½ï¿½s de la P,Bad Bunny,1,2022,5,6,461558540,56,90
NEW MAGIC WAND,"Tyler, The Creator",2,2019,5,16,461437791,62,73
Happy Xmas (War Is Over),"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",4,1971,12,1,460492795,33,61
Normal,Feid,1,2022,7,8,459276435,71,56
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,457184829,49,55
Something in the Orange,Zach Bryan,1,2022,4,22,449701773,59,38
Murder In My Mind,Kordhell,1,2022,1,21,448843705,71,97
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,1,2022,5,6,448500832,80,60
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1,1959,11,16,446390129,45,24
Calm Down,Rï¿½ï,1,2022,2,9,445763624,81,78
Me and Your Mama,Childish Gambino,1,2016,11,10,445590495,56,45
Nostï¿½ï¿½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,436695353,73,85
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,436027885,78,83
Midnight Rain,Taylor Swift,1,2022,10,21,433356509,64,37
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,432719968,58,45
Take My Breath,The Weeknd,1,2021,8,6,432702334,75,74
OMG,NewJeans,1,2023,1,2,430977451,80,77
Last Night,Morgan Wallen,1,2023,1,31,429829812,52,68
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,429504768,51,58
Super Freaky Girl,Nicki Minaj,1,2022,8,12,428685680,95,89
OUT OUT (feat. Charli XCX & Saweetie),"Charli XCX, Jax Jones, Joel Corry, Saweetie",4,2021,8,13,427486004,79,84
All For Us - from the HBO Original Series Euphoria,"Labrinth, Zendaya",2,2019,8,4,426204830,37,67
Thunder,"Prezioso, Gabry Ponte, LUM!X",3,2021,5,7,422691058,67,90
Fuera del mercado,Danny Ocean,1,2022,2,17,421365166,45,67
Notion,The Rare Occasions,1,2016,8,5,421135627,31,88
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,421040617,72,68
Un Ratito,Bad Bunny,1,2022,5,6,417230415,79,55
The Color Violet,Tory Lanez,1,2021,12,10,415932686,65,53
Happier Than Ever - Edit,Billie Eilish,1,2021,7,28,412795151,45,57
Those Eyes,New West,1,2019,5,10,411747614,60,35
Angel Baby,Troye Sivan,1,2021,9,9,408843328,56,57
Shut up My Moms Calling,Hotel Ugly,1,2020,2,10,405136812,48,41
No Se Va,Grupo Frontera,1,2022,4,28,404887295,59,53
Sleigh Ride,The Ronettes,1,1963,11,22,404664135,53,77
Karma,Taylor Swift,1,2022,10,21,404562836,64,62
Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney,1,1979,11,16,403939487,75,58
Un Coco,Bad Bunny,1,2022,5,6,403231558,84,69
ýýýýýýýýýýýýýýýýýýýýý,Fujii Kaze,1,2020,5,20,403097450,60,76
